Layer,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,CellAVG,Obs
RGDS-1,0.129,0,0.322,1.05,0.547,0.064,0.376,0.504,0.787,0.091,0.38700,1
RGDS-1,0.387,0.204,0.52,0.721,0.532,0.204,0.577,0.182,0.516,0,0.38430,2
RGDS-1,0.204,0.064,0.347,0.322,0.967,0.144,0.721,0.408,0.612,0.129,0.39180,3
RGDS-1,0.959,0.233,0.322,0.612,0.516,0,0,0,0.779,0.433,0.38540,4
RGDS-1,0.52,0.451,0.595,0.433,0.712,0,0.456,1.104,0.968,0.408,0.56470,5
RGDS-1,0.516,0.288,0.777,0,0.504,0.064,0,0.838,0.266,0.064,0.33170,6
RGDS-1,0.532,0.465,0.233,0.868,1.073,0.258,0.144,0.896,0.064,0.798,0.53310,7
RGDS-1,0.376,0.144,0.798,0.52,0.645,0.064,0.064,0.648,0.433,0.785,0.44770,8
RGDS-1,0.413,0.233,0.712,0.144,0.551,0.193,0.408,1.678,0.433,0.504,0.52690,9
RGDS-1,0.274,0,0.413,0.577,0.841,0,0.433,0.392,0.322,0.258,0.35100,10
RGDS-1,0.064,0.129,0.608,0.584,0.347,0.064,0.877,0.612,0.848,0.504,0.46370,11
RGDS-1,0.288,0.258,0.347,0.258,0.903,0,0.451,0.144,0.787,0.091,0.35270,12
RGDS-1,0.413,0.144,0.392,0.52,0.274,0.976,0.091,0.735,0.288,0.912,0.47450,13
RGDS-1,0.233,0.144,0.193,0.516,0.433,0.532,0.451,0.387,0.322,0.785,0.39960,14
RGDS-1,0.532,0.182,0.129,0.144,0.129,0.193,0.392,0.721,0.456,0.064,0.29420,15
RGDS-1,0.491,0.365,0.064,0.413,0.322,0.204,0.193,0.868,0.376,0.204,0.35000,16
RGDS-1,0.129,0.258,0.064,0.608,0.392,0.129,0.064,0.841,0.091,0.129,0.27050,17
RGDS-1,0.233,1.143,0.258,0.193,0.71,0.204,0.193,0.194,0.392,0.194,0.37140,18
RGDS-1,0.288,1.001,0.322,0.266,0.451,0,0,0.322,0.204,0.673,0.35270,19
RGDS-1,0.258,0.376,0.233,0.322,0.721,0.064,0.451,0.452,0.808,0.465,0.41500,20
